NO CANDIDATE | instructor: Ekamol Tantisattamo | best candidate: Lissa Campos | score: 54.0
REVIEW | instructor: Leanne T Burke | best candidate: Khanh-van T Le-bucklin | score: 85.5
REVIEW | instructor: Martin Schwab | best candidate: Madison Martin Brookshire | score: 85.5
REVIEW | instructor: Susan Katharine Morrissey | best candidate: Susan E Cross | score: 85.5
REVIEW | instructor: Deborah Ann Wing | best candidate: Monica Ann Alfaro Welling | score: 85.5
REVIEW | instructor: James L Mcgaugh | best candidate: Christopher James Halbrook | score: 85.5
REVIEW | instructor: Cristina Del Campo Campos | best candidate: Belinda Campos | score: 85.5
REVIEW | instructor: Machiavelli Chao | best candidate: Michelle Cardona | score: 62.5
REVIEW | instructor: Violina Rindova | best candidate: Huolin Xin | score: 63.0
REVIEW | instructor: Steven R Postrel | best candidate: Steven Philip Bilakovics | score: 85.5
REVIEW | instructor: Scott Rychnovsky | best candidate: Scott Alexander Streitfeld | score: 85.5
REVIEW | instructor: Haroutune Bedelian | best candidate: Houri Berberian | score: 60.6
NO CANDIDATE | instructor: Lbachir Benmohamed | best candidate: Farghalli A Mohamed | score: 54.1
NO CANDIDATE | instructor: Shivashankar Othy | best candidate: Siavash Zare | score: 55.2
NO CANDIDATE | instructor: Wirachin Hoonpongsimanont | best candidate: Shin Lin | score: 56.2
